Time;Perf_Time;Action
07:38:39;3435405.61454551;T
07:38:39;3435405.690019451;h
07:38:39;3435405.834303205;e
07:38:40;3435406.053093036;SPACE
07:38:40;3435406.238388071;r
07:38:40;3435406.496065389;o
07:38:40;3435406.614554587;a
07:38:40;3435406.957212993;d
07:38:41;3435407.121533288;SPACE
07:38:41;3435407.382361434;t
07:38:41;3435407.596240355;r
07:38:41;3435407.827633489;i
07:38:42;3435408.034106254;p
07:38:42;3435408.787285813;SPACE
07:38:43;3435409.024617691;w
07:38:43;3435409.208873196;e
07:38:43;3435409.313288564;SPACE
07:38:43;3435409.570476164;w
07:38:43;3435409.813412112;e
07:38:43;3435409.953487867;n
07:38:44;3435410.178607728;t
07:38:44;3435410.226334259;SPACE
07:38:44;3435410.487929596;f
07:38:44;3435410.581729883;o
07:38:44;3435410.888411048;r
07:38:45;3435411.070090024;SPACE
07:38:45;3435411.336775503;l
07:38:45;3435411.413250691;a
07:38:45;3435411.619338484;s
07:38:45;3435411.790439284;t
07:38:46;3435412.086572292;SPACE
07:38:46;3435412.258567658;v
07:38:46;3435412.297168597;a
07:38:46;3435412.776011918;ca
07:38:46;3435412.950027869;BACK
07:38:47;3435413.290913307;ation
07:38:49;3435415.282065936;
07:38:53;3435419.987702155; , was a lot more of a trip, and it's
07:38:56;3435422.914224897; really about me.
07:39:02;3435428.73162866; I'm more like a trip leader for the trip, and
07:39:13;3435439.097430047;
07:39:20;3435446.334626654; I have a vision that I want to get to with the
07:39:28;3435454.251372926; team, and that vision is to get this win.
07:39:39;3435465.467434456;
07:39:44;3435470.431774749; So when you're on a road trip, it's hard
07:39:57;3435483.093314381; to get any time off of the team, but that's
07:40:01;3435487.688057379; what I was able to do.
07:40:06;3435492.960532776; I didn't have a lot of time, so it was
07:40:15;3435501.046578661; nice to get to work with our guys and be with my
07:40:22;3435508.871437976;
07:40:26;3435512.517282481;
07:40:28;3435514.934365044;
07:40:33;3435519.830273292; friends.
07:40:39;3435525.567081372;
07:40:42;3435528.727905593;
07:40:46;3435532.621465557;
07:40:50;3435536.649238716; It was awesome to be around them and know they really wanted
07:40:55;3435541.903271917; to get it done.
